effect,group,term,estimate,std.error,statistic,df,metric,model_id,formula,study_id,p.value,dataID,p.adjust
ran_pars,rarefyID:study_id,sd__year_scaled,0.2336289180039755,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__(Intercept),0.6020349531274969,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,cor__(Intercept).year_scaled,-0.15554667524780896,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__year_scaled,0.10821997441098809,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.6227460364357396,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,(Intercept),-0.026518209895893884,0.11415986670353806,-0.2322901266586012,14.49938159306194,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled,-0.013875120294372335,0.04196307927604512,-0.330650670392843,10.878789705188613,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,taxaMammals,-0.7104530823630468,0.21994896085010812,-3.2300815589995437,32.1809817663168,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled:taxaMammals,0.12270491574311404,0.10855663997783581,1.1303308187151602,110.70041880434125,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,sd__(Intercept),0.5958395525374454,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.006477463577095409,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
