effect,group,term,estimate,std.error,p.value,metric,model,n_ts,formula,REML,bobyqa
ran_pars,study_id,sd__(Intercept),0.1815636417280656,NA,NA,FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,0.9999999999999999,NA,NA,FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.014824029295946837,NA,NA,FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.1628035765408158,NA,NA,FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),-0.6869736904274518,0.3175923212747187,0.49065199352322075,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.46644508417866787,0.14032155371425592,0.11838874516293015,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.6905539288108777,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-1,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.016348091775428647,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.29671852705023116,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.025778230575557236,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.5260356495209039,NA,NA,FRic,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),2.1255497968922863,0.6700257592017285,0.04847348802753916,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.03582318408684967,0.5401954842939946,0.9515640905052152,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),1.716983541955458,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.9962870743672183,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,1.3058706042807968,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.24319324204002285,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,0.9999989847334593,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.20693250325949172,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.15494858155631291,NA,NA,S,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),-0.25123822230425596,0.10536211856419896,0.1713381885496267,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,0.012947720402316419,0.047343368742276355,0.8473285534024261,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.014017662101642332,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.9999993637082341,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.0016941838112507262,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.17682543085264407,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
